cohort,event_label,event_rel_time,coefficient,car
2023-03-01,TSE P/B Reform Request (Mar 2023),2,-0.10129402831402812,-0.9294095238095219
2023-03-01,TSE P/B Reform Request (Mar 2023),3,-0.14520389961389946,-1.0746134234234215
2023-03-01,TSE P/B Reform Request (Mar 2023),4,-0.1930137709137708,-1.2676271943371922
2023-03-01,TSE P/B Reform Request (Mar 2023),5,-0.145923642213642,-1.4135508365508342
2023-03-01,TSE P/B Reform Request (Mar 2023),6,-0.12133351351351335,-1.5348843500643476
2023-03-01,TSE P/B Reform Request (Mar 2023),7,-0.15384338481338483,-1.6887277348777323
2023-03-01,TSE P/B Reform Request (Mar 2023),8,-0.16995325611325612,-1.8586809909909885
2023-03-01,TSE P/B Reform Request (Mar 2023),9,-0.08706312741312722,-1.9457441184041158
2023-03-01,TSE P/B Reform Request (Mar 2023),10,-0.022672998712998715,-1.9684171171171143
2023-03-01,TSE P/B Reform Request (Mar 2023),11,-0.15018287001286995,-2.1185999871299845
2023-03-01,TSE P/B Reform Request (Mar 2023),12,-0.1315927413127413,-2.250192728442726
2023-03-01,TSE P/B Reform Request (Mar 2023),13,-0.2233026126126125,-2.473495341055338
2023-03-01,TSE P/B Reform Request (Mar 2023),14,-0.2222124839124839,-2.695707824967822
2023-03-01,TSE P/B Reform Request (Mar 2023),15,-0.11902235521235502,-2.814730180180177
2023-03-01,TSE P/B Reform Request (Mar 2023),16,-0.10073222651222657,-2.9154624066924035
2023-03-01,TSE P/B Reform Request (Mar 2023),17,-0.06244209781209786,-2.9779045045045014
2023-03-01,TSE P/B Reform Request (Mar 2023),18,0.08834803088803089,-2.8895564736164707
2023-03-01,TSE P/B Reform Request (Mar 2023),19,0.20203815958815952,-2.687518314028311
2023-03-01,TSE P/B Reform Request (Mar 2023),20,0.10302828828828847,-2.5844900257400227
2023-03-01,TSE P/B Reform Request (Mar 2023),21,-0.04538158301158293,-2.6298716087516056
2023-03-01,TSE P/B Reform Request (Mar 2023),22,-0.09899145431145409,-2.7288630630630597
2023-03-01,TSE P/B Reform Request (Mar 2023),23,-0.08340132561132554,-2.812264388674385
2023-03-01,TSE P/B Reform Request (Mar 2023),24,0.002988803088803199,-2.809275585585582
